Time(days),O3(molecules_m^-3),O(molecules_m^-3),O1D(molecules_m^-3),NO(molecules_m^-3),NO2(molecules_m^-3),Cl(molecules_m^-3),ClO(molecules_m^-3),OH(molecules_m^-3),HO2(molecules_m^-3),H(molecules_m^-3),Br(molecules_m^-3),BrO(molecules_m^-3),CH4(molecules_m^-3),H2O(molecules_m^-3),N2O(molecules_m^-3),HNO3(molecules_m^-3),HCl(molecules_m^-3),ClONO2(molecules_m^-3),HOCl(molecules_m^-3),ClOOCl(molecules_m^-3),ClOO(molecules_m^-3),BrCl(molecules_m^-3),OClO(molecules_m^-3)
0.0,5.1595124678976525e+17,0.0,0.0,1768319926.71475,1922497708633013.8,49894490.35879395,24065811826596.492,6864300223.516067,363300745631.1637,24573.061255868735,147438631.13433054,2545352567184.522,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46040491372355.625,417264264455997.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,2622549098132.4263
0.020833333333333332,5.158852448400538e+17,20852098.092133507,11.226601659619684,99522914.85321032,1919212209516979.0,49894490.35879395,20351514209583.316,123689323714.74265,69649240546.64452,24573.061255868735,147438631.13433054,51055209031947.68,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46245054702031.58,426535006195953.06,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,2730350672092.7217
0.041666666666666664,5.158173484607962e+17,41661813.861188635,27.270493801708525,211777721.99647623,1916625739375641.8,49894490.35879395,15815647236736.033,85940770191.43999,48196368268.05247,24573.061255868735,147438631.13433054,98149121350608.17,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46333756173901.164,435805747935910.25,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,2979689053468.002
0.0625,5.157436804993037e+17,62301123.55533532,43.42491630303032,324466039.9630273,1914721862444462.5,49894490.35879395,11360218265655.352,81454301503.69249,45518559467.000854,24573.061255868735,147438631.13433054,144683802954079.6,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46371026848861.83,445076489675867.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,3284258152792.863
0.08333333333333333,5.156626543232118e+17,82680631.08359149,59.399163940788256,435746146.3724126,1913412274374107.8,49894490.35879395,7596828648709.3545,91311402821.6961,50939229245.175934,24573.061255868735,147438631.13433054,191329971512790.1,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46386114316851.38,454347231415824.94,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,3576519836754.591
0.10416666666666667,5.15573664417481e+17,102713856.69386153,75.1136132527357,545221687.5135747,1912566097205573.5,49894490.35879395,4785050034063.544,107257232627.61482,59799640096.87961,24573.061255868735,147438631.13433054,238464924445548.88,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46391841016288.91,463617973155782.25,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,3818492883738.475
0.125,5.15476552397241e+17,122315823.98914824,90.49980698221619,652470524.3764033,1912045408210035.8,49894490.35879395,2898413255686.354,125635849211.78491,70036496914.92265,24573.061255868735,147438631.13433054,286193883529661.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46393895488282.35,472888714895739.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,3999580059569.4927
0.14583333333333334,5.153713756908455e+17,141403311.03087747,105.49124134808086,757052686.3035132,1911732056000689.0,49894490.35879395,1748307313437.6787,144790825611.7904,80715154591.67609,24573.061255868735,147438631.13433054,334443172201094.75,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46394839893924.86,482159456635697.0,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4127175131766.9673
0.16666666666666666,5.1525830599377024e+17,159895185.3673807,120.02321325917771,858523884.5020442,1911539532310161.5,49894490.35879395,1102358737930.6436,163945818038.39148,91397866006.37021,24573.061255868735,147438631.13433054,383065041369440.3,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46395855754035.78,491430198375654.56,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4216108688740.3164
0.1875,5.151375837874217e+17,177712740.170088,134.0330860119729,956447008.2547902,1911412311276554.5,49894490.35879395,760452916478.8925,182716799578.69992,101868423530.50273,24573.061255868735,147438631.13433054,431913617120748.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46397514095780.92,500700940115612.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4281007826971.202
0.20833333333333334,5.15009497397201e+17,194780022.46319675,147.46056397904445,1050399356.8761504,1911318595064819.5,49894490.35879395,583079453050.9833,200895909573.74423,112010082352.13101,24573.061255868735,147438631.13433054,480880176523115.9,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46400118329734.96,509971681855569.44,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4332751881554.9585
0.22916666666666666,5.1487437293739405e+17,211024151.5221,160.2479565433021,1139976179.8880465,1911241839204086.8,49894490.35879395,487302842785.4891,218354340544.09006,121750696176.85704,24573.061255868735,147438631.13433054,529897452302843.06,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46403856397116.664,519242423595526.7,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4378044635639.305
0.25,5.147325690928677e+17,226375625.98230866,172.3404293949944,1224792161.141996,1911174013825962.5,49894490.35879395,429843768887.64825,234998780049.4393,131038111249.8493,24573.061255868735,147438631.13433054,578929395367832.1,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46408866738402.54,528513165335483.8,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4420448366075.598
0.2708333333333333,5.145844739927706e+17,240768618.5888555,183.68624199359436,1304482229.6465056,1911111317785933.5,49894490.35879395,390379173747.8062,250752399857.29016,139829433996.21237,24573.061255868735,147438631.13433054,627958740026458.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46415265584119.59,537783907075440.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4461637445640.978
0.2916666666666667,5.144305029218262e+17,254141256.84770238,194.23697005498033,1378702400.0361273,1911051868445274.5,49894490.35879395,360042770559.8838,265547023368.78424,148086614314.42303,24573.061255868735,147438631.13433054,676977809222502.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46423157442468.914,547054648815398.0,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4502324844251.94
0.3125,5.142710963099754e+17,266435890.3536172,203.94771202104047,1447130822.1290295,1910994610948749.5,49894490.35879395,335049717246.71906,279320194241.3406,155774794760.17636,24573.061255868735,147438631.13433054,725983230114521.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46432638689518.73,556325390555355.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,4542794559595.521
